Xrhsths{onomaXrhsth='515501', onoma='Αλεξανδρος', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='924901', email='acdem515501@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='324114', onoma='Αννα', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2002-12-09, kwdikos='969049', email='acdem324114@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='693016', onoma='Τζεραρ', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='897377', email='acdem693016@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='858129', onoma='Τζουλια', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='593474', email='acdem858129@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='614277', onoma='Ραδιον', epwnhmo='Ολιρηνος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='102413', email='acdem614277@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='148113', onoma='Τζον', epwnhmo='Ολιρηνος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='390062', email='acdem148113@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='035860', onoma='Αλεξανδρος', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='506629', email='acdem035860@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='745636', onoma='Μαρια', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='407554', email='acdem745636@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='055461', onoma='Μαρια', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='409273', email='acdem055461@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='357365', onoma='Νατασσα', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='924244', email='acdem357365@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='046759', onoma='Ελλη', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='790646', email='acdem046759@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='740192', onoma='Αλεξανδρος', epwnhmo='Παδαποδουλος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='983379', email='acdem740192@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='192264', onoma='Μανωλης', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='536964', email='acdem192264@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='567623', onoma='Φιλιππος', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='501878', email='acdem567623@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='518456', onoma='Νατασσα', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='806677', email='acdem518456@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='591736', onoma='Τζεραρ', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='904491', email='acdem591736@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='219486', onoma='Εση', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='412201', email='acdem219486@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='666025', onoma='Φιλιππος', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='172634', email='acdem666025@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='728952', onoma='Μανωλης', epwnhmo='Παδαποδουλος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='615054', email='acdem728952@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='071378', onoma='Τζεραρ', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='413745', email='acdem071378@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='389084', onoma='Τζουλια', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='540647', email='acdem389084@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='576335', onoma='Ελισαβετ', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='824465', email='acdem576335@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='416790', onoma='Αλεξανδρος', epwnhmo='Ολιρηνος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='642868', email='acdem416790@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='317906', onoma='Βασιλης', epwnhmo='Παδαποδουλος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='973522', email='acdem317906@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='119522', onoma='Ελλη', epwnhmo='Μακρινος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='498788', email='acdem119522@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='580832', onoma='Νατασσα', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2005-12-09, kwdikos='229787', email='acdem580832@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='959913', onoma='Βασιλης', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='178058', email='acdem959913@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='414138', onoma='Τζεραρ', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='932508', email='acdem414138@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='234875', onoma='Βασιλης', epwnhmo='Παδαποδουλος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='290494', email='acdem234875@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='661807', onoma='Εση', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='576215', email='acdem661807@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='952285', onoma='Αννα', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2004-12-09, kwdikos='878160', email='acdem952285@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='029844', onoma='Μανωλης', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='450224', email='acdem029844@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='395770', onoma='Ολγα', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='622657', email='acdem395770@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='941376', onoma='Τζουλια', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='623474', email='acdem941376@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='955559', onoma='Βασιλης', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='428864', email='acdem955559@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='073569', onoma='Μανωλης', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='717062', email='acdem073569@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='779050', onoma='Μαρια', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='788752', email='acdem779050@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='057059', onoma='Μανωλης', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='978854', email='acdem057059@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='129791', onoma='Τζεραρ', epwnhmo='Ολιρηνος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='287999', email='acdem129791@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='115393', onoma='Ραδιον', epwnhmo='Ολιρηνος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='158558', email='acdem115393@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='059001', onoma='Ελισαβετ', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='381928', email='acdem059001@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='737204', onoma='Ελισαβετ', epwnhmo='Αλεγαγλου', hmeromhniaGennhshs=2003-12-09, kwdikos='803429', email='acdem737204@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='990777', onoma='Νατασσα', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='842818', email='acdem990777@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='190863', onoma='Αννα', epwnhmo='Αλεγαγλου', hmeromhniaGennhshs=2002-12-09, kwdikos='995736', email='acdem190863@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='543651', onoma='Τζεραρ', epwnhmo='Μακρινος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='781835', email='acdem543651@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='350876', onoma='Μαρια', epwnhmo='Μανουλιδου', hmeromhniaGennhshs=2004-12-09, kwdikos='837944', email='acdem350876@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='863229', onoma='Γιωργος', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='236888', email='acdem863229@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='516059', onoma='Γιωργος', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='706539', email='acdem516059@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='391388', onoma='Φιλιππος', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='288011', email='acdem391388@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='394655', onoma='Αννα', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='942638', email='acdem394655@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='291693', onoma='Φιλιππος', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2004-12-09, kwdikos='060908', email='acdem291693@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='839796', onoma='Πετρος', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='144364', email='acdem839796@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='162164', onoma='Εση', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='783687', email='acdem162164@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='875214', onoma='Ραδιον', epwnhmo='Αλεγαγλου', hmeromhniaGennhshs=2004-12-09, kwdikos='048814', email='acdem875214@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='253136', onoma='Βασιλης', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='471632', email='acdem253136@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='609697', onoma='Τζουλια', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2001-12-09, kwdikos='324841', email='acdem609697@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='980965', onoma='Ολγα', epwnhmo='Μακρινος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='235212', email='acdem980965@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='442858', onoma='Πετρος', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='380600', email='acdem442858@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='453741', onoma='Μαρια', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2004-12-09, kwdikos='264521', email='acdem453741@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='345356', onoma='Βασιλης', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='666569', email='acdem345356@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='350403', onoma='Νικος', epwnhmo='Παδαποδουλος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='851089', email='acdem350403@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='106671', onoma='Νικος', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='086850', email='acdem106671@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='069262', onoma='Πετρος', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='954948', email='acdem069262@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='161067', onoma='Αννα', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2002-12-09, kwdikos='589813', email='acdem161067@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='036361', onoma='Τζουλια', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='113657', email='acdem036361@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='657559', onoma='Τζον', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='226349', email='acdem657559@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='402596', onoma='Μανωλης', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='991027', email='acdem402596@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='134703', onoma='Ολγα', epwnhmo='Αλεγαγλου', hmeromhniaGennhshs=2005-12-09, kwdikos='304677', email='acdem134703@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='576375', onoma='Ελλη', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='700632', email='acdem576375@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='928198', onoma='Τζεραρ', epwnhmo='Μανουλιδου', hmeromhniaGennhshs=2005-12-09, kwdikos='970302', email='acdem928198@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='607022', onoma='Αλεξανδρος', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='733219', email='acdem607022@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='874356', onoma='Τζεραρ', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='605837', email='acdem874356@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='662900', onoma='Τζεραρ', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='795759', email='acdem662900@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='018946', onoma='Ραδιον', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='930780', email='acdem018946@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='587019', onoma='Νατασσα', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='844193', email='acdem587019@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='387902', onoma='Αννα', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='825947', email='acdem387902@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='898749', onoma='Αννα', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='954829', email='acdem898749@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='612835', onoma='Αλεξανδρος', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='196359', email='acdem612835@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='375956', onoma='Τζουλια', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='652748', email='acdem375956@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='375714', onoma='Νικος', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='637095', email='acdem375714@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='574363', onoma='Τζουλια', epwnhmo='Ολιρηνος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='332788', email='acdem574363@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='701672', onoma='Αννα', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='700331', email='acdem701672@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='609675', onoma='Γιωργος', epwnhmo='Ολιρηνος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='209355', email='acdem609675@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='494476', onoma='Πετρος', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='133854', email='acdem494476@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='382004', onoma='Ραδιον', epwnhmo='Μακρινος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='504331', email='acdem382004@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='281421', onoma='Τζουλια', epwnhmo='Μανουλιδου', hmeromhniaGennhshs=2005-12-09, kwdikos='681845', email='acdem281421@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='558703', onoma='Ραδιον', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='471170', email='acdem558703@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='142731', onoma='Αλεξανδρος', epwnhmo='Ολιρηνος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='929071', email='acdem142731@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='473773', onoma='Αλεξανδρος', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='771054', email='acdem473773@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='738962', onoma='Ολγα', epwnhmo='Αλεγαγλου', hmeromhniaGennhshs=2002-12-09, kwdikos='752450', email='acdem738962@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='807783', onoma='Νικος', epwnhmo='Παδαποδουλος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='058528', email='acdem807783@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='954023', onoma='Τζουλια', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='414682', email='acdem954023@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='942264', onoma='Ελλη', epwnhmo='Ολιρηνος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='160120', email='acdem942264@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='939097', onoma='Ολγα', epwnhmo='Παδαποδουλος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='987237', email='acdem939097@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='405446', onoma='Φιλιππος', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='695806', email='acdem405446@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='189836', onoma='Αλεξανδρος', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='934331', email='acdem189836@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='319062', onoma='Πετρος', epwnhmo='Ολιρηνος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='378597', email='acdem319062@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='243168', onoma='Πετρος', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='236459', email='acdem243168@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='757001', onoma='Γιωργος', epwnhmo='Μανουλιδου', hmeromhniaGennhshs=2004-12-09, kwdikos='913861', email='acdem757001@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='758331', onoma='Τζουλια', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='744258', email='acdem758331@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='876947', onoma='Μανωλης', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='373700', email='acdem876947@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='203701', onoma='Νικος', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2001-12-09, kwdikos='893818', email='acdem203701@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='576553', onoma='Ολγα', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2004-12-09, kwdikos='949918', email='acdem576553@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='607244', onoma='Ραδιον', epwnhmo='Μανουλιδου', hmeromhniaGennhshs=2004-12-09, kwdikos='202852', email='acdem607244@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='895496', onoma='Φιλιππος', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='812241', email='acdem895496@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='982958', onoma='Ελλη', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2002-12-09, kwdikos='334671', email='acdem982958@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='211323', onoma='Μανωλης', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='167205', email='acdem211323@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='735463', onoma='Αννα', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2005-12-09, kwdikos='511172', email='acdem735463@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='714740', onoma='Εση', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='983034', email='acdem714740@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='804041', onoma='Τζουλια', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2001-12-09, kwdikos='383675', email='acdem804041@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='287158', onoma='Αννα', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='424625', email='acdem287158@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='618366', onoma='Μανωλης', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2004-12-09, kwdikos='298938', email='acdem618366@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='439409', onoma='Νατασσα', epwnhmo='Μακρινος/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='502151', email='acdem439409@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='138017', onoma='Γιωργος', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='559683', email='acdem138017@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='068383', onoma='Νικος', epwnhmo='Πετριδης/δου', hmeromhniaGennhshs=2002-12-09, kwdikos='802426', email='acdem068383@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='219064', onoma='Βασιλης', epwnhmo='Παρασκευοπουλος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='439102', email='acdem219064@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='282739', onoma='Εση', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='355688', email='acdem282739@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='659554', onoma='Μανωλης', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2005-12-09, kwdikos='135960', email='acdem659554@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='083172', onoma='Τζεραρ', epwnhmo='Ολιρηνος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='784347', email='acdem083172@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='175432', onoma='Αννα', epwnhmo='Καθαριος/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='712323', email='acdem175432@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='116270', onoma='Αννα', epwnhmo='Αννουλιδης/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='334435', email='acdem116270@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='471333', onoma='Νικος', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2004-12-09, kwdikos='871686', email='acdem471333@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='694983', onoma='Ολγα', epwnhmo='Μανουλιδου', hmeromhniaGennhshs=2005-12-09, kwdikos='416119', email='acdem694983@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='427676', onoma='Αλεξανδρος', epwnhmo='Παλιδος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='609693', email='acdem427676@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='165862', onoma='Γιωργος', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2001-12-09, kwdikos='662945', email='acdem165862@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='098427', onoma='Φιλιππος', epwnhmo='Αντονιδης/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='502383', email='acdem098427@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='255371', onoma='Τζον', epwnhmo='Παδαποδουλος/ου', hmeromhniaGennhshs=2003-12-09, kwdikos='620608', email='acdem255371@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='225736', onoma='Νατασσα', epwnhmo='Κασιναδρου', hmeromhniaGennhshs=2001-12-09, kwdikos='555250', email='acdem225736@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='827369', onoma='Τζεραρ', epwnhmo='Ανταμιδης/ου', hmeromhniaGennhshs=2002-12-09, kwdikos='881358', email='acdem827369@academia.gr', roloi=[FOITITIS]}


Xrhsths{onomaXrhsth='893291', onoma='Αννα', epwnhmo='Αριουνουλος/ου', hmeromhniaGennhshs=2005-12-09, kwdikos='350208', email='acdem893291@academia.gr', roloi=[FOITITIS]}


